Class,Offer PF,offer_pf
1611,Servers,Servers
1612,Servers,Servers
1613,Peripherals,Peripherals
1614,Servers,Servers
1615,Servers,Servers
1616,Servers,Servers
1626,Others,Others
1635,Peripherals,Peripherals
1642,Peripherals,Peripherals
1646,Peripherals,Peripherals
1647,Peripherals,Peripherals
1651,Peripherals,Peripherals
1652,Peripherals,Peripherals
1657,Servers,Servers
1659,Servers,Servers
1667,Others,Others
1924,Peripherals,Peripherals
1925,Peripherals,Peripherals
1930,Peripherals,Peripherals
2004,Other-ATM,ATM
2012,CD,ATM
2014,CD,ATM
2018,CD,ATM
2019,FF-80,ATM
2021,CD,ATM
2043,Other-ATM,ATM
2045,Other-ATM,ATM
2062,FF-80,ATM
2063,FF-80,ATM
2064,FF-80,ATM
2084,FF-80,ATM
2088,FF-80,ATM
2166,Others,Others
2181,Peripherals,Peripherals
2185,Peripherals,Peripherals
2186,Peripherals,Peripherals
2245,Travel,Travel
2368,Travel,Travel
4505,HOSP POS,POS
5829,Others,Others
5831,Others,Others
5832,Others,Others
5907,Display,Display
5910,Display,Display
5915,Display,Display
5916,Display,Display
5931,Display,Display
5934,Display,Display
5943,NON-Manufacturing Items,NON-Manufacturing Items
5954,Display,Display
5967,NON-Manufacturing Items,NON-Manufacturing Items
5968,Display,Display
5975,Display,Display
5976,Display,Display
5977,Display,Display
5982,Display,Display
5985,Display,Display
6001,Optic,Optic
6002,Optic,Optic
6003,Optic,Optic
6005,Optic,Optic
6101,Kits,Kits
6102,Kits,Kits
6105,Kits,Kits
6109,Kits,Kits
6619,Other-ATM,ATM
6621,CD,ATM
6622,CD,ATM
6623,CD,ATM
6624,CD,ATM
6625,CD,ATM
6626,CD,ATM
6627,CD,ATM
6628,CD,ATM
6629,CD,ATM
6631,Other-ATM,ATM
6632,Other-ATM,ATM
6634,Other-ATM,ATM
6636,Other-ATM,ATM
6637,Other-ATM,ATM
6638,Other-ATM,ATM
6643,CD,ATM
6647,Other-ATM,ATM
6648,Other-ATM,ATM
6649,Other-ATM,ATM
6655,Kits,Kits
6657,Kits,Kits
6658,Kits,Kits
6659,Kits,Kits
6680,FF-80,ATM
6681,FF-80,ATM
6682,FF-80,ATM
6683,FF-80,ATM
6684,FF-80,ATM
6687,FF-80,ATM
6688,FF-80,ATM
6691,Other-ATM,ATM
6901,Others,Others
6902,Others,Others
6932,Peripherals,Peripherals
7127,Printer,Printer
7128,Printer,Printer
7130,Printer,Printer
7131,Printer,Printer
7132,Printer,Printer
7137,Printer,Printer
7138,Printer,Printer
7147,Printer,Printer
7148,Printer,Printer
7167,Printer,Printer
7168,Printer,Printer
7169,Printer,Printer
7197,Printer,Printer
7198,Printer,Printer
7199,Printer,Printer
7344,Input Belts,Input Belts
7350,SCO,SCO
7357,SCO,SCO
7358,SCO,SCO
7360,SCO,SCO
7362,SCO,SCO
7364,SCO,SCO
7370,SCO,SCO
7431,Others,Others
7600,XR POS,POS
7602,XR POS,POS
7603,XR POS,POS
7606,XR POS,POS
7607,XR POS,POS
7610,XR POS,POS
7613,XR POS,POS
7616,XR POS,POS
7649,POS,POS
7701,XR POS,POS
7702,XR POS,POS
7703,XR POS,POS
7705,Kiosk,Kiosk
7707,SCO,SCO
7709,Kiosk,Kiosk
7734,HOSP POS,POS
7735,NCR POS,POS
7736,CX POS,POS
7743,HOSP POS,POS
7744,HOSP POS,POS
7745,HOSP POS,POS
7746,HOSP POS,POS
7757,HOSP POS,POS
7761,HOSP POS,POS
7772,CX POS,POS
7773,CX POS,POS
7776,HOSP POS,POS
7777,NON-Manufacturing Items,NON-Manufacturing Items
7779,NON-Manufacturing Items,NON-Manufacturing Items
7791,HOSP POS,POS
7812,Scanner,Scanner
7837,Scanner,Scanner
7840,Scanner,Scanner
7874,Scanner,Scanner
7877,Scanner,Scanner
7878,Scanner,Scanner
7879,Scanner,Scanner
7884,Scanner,Scanner
7895,Scanner,Scanner
7896,Scanner,Scanner
8820,Kiosk,Kiosk
9700,Others,Others
6620,CD,ATM
7371,SCO,SCO
7372,SCO,SCO
